Symbol
RL
COO
CHD
SBAC
ADP
ACGL
SYY
CBRE
HWM
MGM
SMCI
KMX
JNPR
PNR
WEC
LULU
GILD
EVRG
COST
CL
MAS
CRL
FAST
MMC
NFLX
MTB
ED
TRGP
LNT
IT
AXON
BKNG
FOXA
DUK
ADM
GRMN
ECL
AES
ZBRA
FE
AFL
PLTR
STX
UDR
XEL
CAT
PPG
MSI
DLTR
CF
GM
C
AJG
PWR
WELL
MSFT
HII
CZR
GS
SJM
AMT
YUM
AKAM
CTAS
JCI
PANW
KO
APO
RMD
AMCR
T
CINF
O
BX
CFG
USB
AMGN
ETN
LDOS
KVUE
WYNN
XYL
GDDY
PCAR
AVY
PM
REGN
UPS
TPR
HAL
DHI
PGR
QCOM
WBD
CEG
INCY
RJF
RVTY
ACN
HUBB
AMZN
MNST
HAS
PLD
FITB
LII
ORLY
CNP
NXPI
PCG
CCI
DG
EMR
IDXX
NOW
CMS
EBAY
ULTA
WBA
DOV
DE
NDSN
DPZ
VRTX
PAYX
AEE
STZ
GWW
NUE
ESS
IPG
PFG
FTV
VTR
IBM
BLK
CAG
NWS
ICE
NVR
PAYC
OMC
LKQ
NRG
MO
CPRT
VLO
AZO
SHW
MAA
SYK
HSIC
PPL
NWSA
UHS
WAB
PNW
SYF
PSX
FCX
TEL
NKE
FIS
PODD
TDG
WDC
DGX
AIZ
COP
KMB
SPG
EL
PH
SWK
ON
JPM
ELV
STT
DOC
EQT
PYPL
STLD
ISRG
CPT
WDAY
D
SOLV
AMAT
REG
VRSN
KDP
SPGI
COR
BRK-B
ETR
INVH
WFC
CDNS
HOLX
MRK
IVZ
GOOG
NVDA
CLX
CTSH
ITW
AIG
CMG
MAR
TROW
NI
CRM
WST
L
CARR
LYB
SBUX
SNPS
MCK
NOC
KIM
POOL
PNC
FRT
BK
GPN
BIIB
CHTR
KMI
UAL
DXCM
FMC
LOW
CSCO
TTWO
AMP
TXN
TT
OXY
COF
RTX
TSN
HLT
BWA
TSCO
V
ODFL
WMT
MCD
CMI
JNJ
TPL
HRL
PARA
AVGO
MKTX
FTNT
TYL
BLDR
RSG
MKC
MPWR
EIX
TSLA
ANSS
ABT
BKR
BEN
NTRS
LRCX
FDX
EQIX
HD
PRU
PFE
GL
SRE
CPAY
MA
CNC
TECH
DOW
INTU
BA
APA
FSLR
DD
CSGP
WRB
AAPL
SNA
DIS
TFC
BAC
TMUS
FICO
WTW
LVS
XOM
EFX
LHX
VZ
JBL
SO
MHK
CE
ADI
PHM
UNH
TAP
ARE
J
PSA
GNRC
TXT
DHR
MLM
GLW
TMO
GEN
IEX
CMCSA
VST
STE
SLB
FI
NCLH
BG
MSCI
APH
MOH
K
NEE
TJX
HCA
LUV
CB
MCO
MU
AMD
JKHY
BXP
MTD
ROL
ORCL
AVB
UNP
BRO
ALLE
EW
CHRW
RF
ZTS
MDLZ
DELL
ATO
ABBV
JBHT
TRV
MTCH
ADBE
HUM
DECK
HON
TER
ENPH
EXPE
CSX
AXP
EA
DLR
MDT
AWK
BF-B
CVX
BSX
FANG
ROK
HIG
VTRS
SWKS
ALGN
ADSK
KEY
ES
MS
WAT
NTAP
LMT
PG
OTIS
CTVA
OKE
PEG
NSC
PTC
ROP
MCHP
AME
DAL
DTE
CRWD
LLY
LIN
DRI
IP
KR
ERIE
MRNA
A
FOX
KEYS
SCHW
TRMB
EPAM
WMB
CME
INTC
DVN
AOS
CBOE
MET
CDW
DAY
DFS
RCL
ZBH
BBY
ANET
IFF
MMM
CAH
BMY
CI
FFIV
EQR
APD
LH
KHC
DVA
HSY
GEV
NEM
F
GPC
EOG
VLTO
KKR
GEHC
VRSK
EXPD
WM
TFX
BALL
NDAQ
EG
VICI
CVS
LW
SW
BAX
LEN
HPQ
CTRA
EXR
IQV
IR
GOOGL
GIS
BDX
TDY
HPE
TGT
GD
CPB
APTV
CCL
VMC
URI
GE
HST
PEP
MOS
ALB
EXC
FDS
LYV
MPC
PKG
ROST
META
AEP
WY
HES
AON
UBER
EMN
BR
KLAC
IRM
ABNB
ALL
HBAN
